rank,GID_3,NAME_3,NAME_2,NAME_1,TYPE_3,cells,risk_mean,risk_max,risk_p75,risk_p90,risk_p95,class_max,class_3plus_cells,class_3plus_pct,risk_mean_norm,risk_max_norm,risk_p75_norm,risk_p90_norm,risk_p95_norm
34,THA.10.7.8_1,NongKhwai,HangDong,ChiangMai,Tambon,1899,0.3719494044780731,0.5211428999900818,0.4029466509819031,0.4280756413936615,0.4488212764263153,3,91,4.79199578725645,0.23394998918212534,0.7630696255747029,0.34388274290567794,0.4330035334867389,0.5065786101181955
35,THA.10.22.1_1,NA,SanSai,ChiangMai,Tambon,3909,0.3758774995803833,0.5175936818122864,0.4065837264060974,0.4274761974811554,0.4441646933555603,3,154,3.9396265029419286,0.2478811075939366,0.7504822066308129,0.35678175046212457,0.4308775859450283,0.49006388517811655
36,THA.10.13.8_1,RimNuea,MaeRim,ChiangMai,Tambon,1003,0.37706518173217773,0.5144923329353333,0.4034804701805115,0.42735740542411804,0.44667673110961914,3,40,3.988035892323031,0.25209326138891786,0.7394831708855321,0.34577595024221575,0.4304562860095973,0.4989729096531484
37,THA.75.4.14_1,ThaSao,MuangUttaradit,Uttaradit,Tambon,3729,0.3734116852283478,0.521178126335144,0.39892885088920593,0.42566633224487305,0.4436544179916382,3,117,3.1375703942075623,0.23913601593372,0.7631945569654905,0.32963348279651417,0.4244588393873796,0.4882541768252693
38,THA.75.7.7_1,ThaFaek,ThaPla,Uttaradit,Tambon,62753,0.35819223523139954,0.5108203887939453,0.3778412938117981,0.4254518449306488,0.4417227804660797,3,2112,3.3655761477538926,0.1851597361981729,0.7264605002772906,0.2548457683930557,0.4236981530764672,0.4814035608405832
39,THA.47.7.8_1,RongKat,SungMen,Phrae,Tambon,2133,0.3695569634437561,0.5004438161849976,0.38317808508872986,0.4247850179672241,0.43977823853492737,3,35,1.640881387716831,0.2254651184052582,0.6896596444021383,0.2737728740973786,0.42133322932953593,0.4745071789572414
40,THA.11.11.9_1,RimKok,MuangChiangRai,ChiangRai,Tambon,5854,0.3701403737068176,0.518233060836792,0.3998490273952484,0.42433664202690125,0.44165095686912537,3,197,3.3652203621455414,0.22753420208212644,0.7527497853600492,0.3328969190249052,0.4197430493173535,0.48114883609286907
41,THA.47.3.4_1,MueangMo,MuangPhrae,Phrae,Tambon,851,0.3789396584033966,0.48968958854675293,0.40043094754219055,0.4242557883262634,0.43781113624572754,3,10,1.1750881316098707,0.25874115452459323,0.6515194225506233,0.33496071795597027,0.419456299010072,0.46753078602243925
42,THA.10.21.3_1,MaeKa,SanPaTong,ChiangMai,Tambon,1895,0.3620525002479553,0.5151845812797546,0.37750065326690674,0.42414677143096924,0.43597960472106934,3,19,1.0026385224274408,0.19885029298102258,0.741938252395866,0.25363767550244454,0.41906966700711,0.46103519926081205
43,THA.10.13.6_1,MueangKaeo,MaeRim,ChiangMai,Tambon,2174,0.36835426092147827,0.5012022852897644,0.3916678726673126,0.4237140417098999,0.4392688572406769,3,46,2.1159153633854646,0.22119969437258072,0.6923495800159662,0.30388218483652113,0.41753497682586116,0.4727006414518761
44,THA.10.23.10_1,ThaWangTan,Saraphi,ChiangMai,Tambon,1378,0.3733097016811371,0.4976672828197479,0.3972421884536743,0.42305877804756165,0.4349687099456787,3,22,1.5965166908563133,0.23877432793094908,0.6798125775470387,0.32365167902187386,0.4152110627063627,0.45745002770792226
45,THA.20.6.2_1,BanPaen,MuangLamphun,Lamphun,Tambon,1353,0.36858078837394714,0.49924394488334656,0.386909157037735,0.42298534512519836,0.4358631670475006,3,8,0.5912786400591279,0.22200308142958292,0.6854042613864869,0.287005243419091,0.4149506304331811,0.4606222492237501
46,THA.11.9.4_1,MaeSai,MaeSai,ChiangRai,Tambon,3108,0.36905303597450256,0.5122160315513611,0.40027162432670593,0.4228888750076294,0.43987610936164856,3,95,3.0566280566280564,0.22367792306953257,0.7314101931965662,0.3343956729346923,0.41460849598988203,0.4748542810615955
47,THA.75.7.4_1,NangPhaya,ThaPla,Uttaradit,Tambon,18129,0.34430956840515137,0.4955960512161255,0.3610978424549103,0.4213731288909912,0.4374394714832306,3,494,2.7249158806332394,0.13592440192267508,0.672466886575509,0.1954645677347455,0.40923285255886865,0.46621266472420547
48,THA.10.23.7_1,PaBong,Saraphi,ChiangMai,Tambon,747,0.3712024986743927,0.5102992057800293,0.39783453941345215,0.42053869366645813,0.43912309408187866,3,22,2.9451137884872822,0.23130106319573018,0.7246121075851639,0.3257524711735613,0.4062735006039936,0.47218368761740726
49,THA.10.23.5_1,NongFaek,Saraphi,ChiangMai,Tambon,932,0.3725769817829132,0.5240253210067749,0.39743202924728394,0.42035579681396484,0.4383002817630768,3,25,2.682403433476395,0.23617571272460036,0.7732922264665777,0.3243249556372014,0.40562485090410905,0.46926555667979714
50,THA.20.6.8_1,SanSai,MuangLamphun,Lamphun,Tambon,5694,0.36628958582878113,0.510138988494873,0.3899611830711365,0.4202665686607361,0.4333495497703552,3,110,1.9318580962416578,0.21387725628258508,0.724043891716404,0.2978293540782859,0.4053084003254135,0.45170762291816685
51,THA.75.3.2_1,DanMaeKamMan,Laplae,Uttaradit,Tambon,2275,0.37242424488067627,0.5031234622001648,0.3875731825828552,0.4201752841472626,0.4377925395965576,3,42,1.8461538461538463,0.23563402627977253,0.6991630970851139,0.2893602318439123,0.40498465679750956,0.46746483239481534
52,THA.47.7.10_1,SungMen,SungMen,Phrae,Tambon,898,0.3714462220668793,0.4935641288757324,0.3965281844139099,0.41994979977607727,0.4352072775363922,3,8,0.8908685968819599,0.2321654362193013,0.6652606071982677,0.32111944022281336,0.4041849690625696,0.4582961155110143
53,THA.10.13.1_1,DonKaeo,MaeRim,ChiangMai,Tambon,3726,0.3600602149963379,0.5174588561058044,0.38875916600227356,0.41983574628829956,0.4405198097229004,3,121,3.247450348899624,0.19178458784214633,0.7500040428305395,0.2935663610286779,0.4037804746187928,0.47713718555366114
54,THA.19.3.1_1,KoKha,KoKha,Lampang,Tambon,1707,0.3709721863269806,0.5096703171730042,0.3918992877006531,0.4197555482387543,0.4373559057712555,3,37,2.1675454012888107,0.23048425288438784,0.7223817334663821,0.30470290585975784,0.4034960495996647,0.46591629617956215
55,THA.47.4.3_1,NongMuangKhai,NongMuangKai,Phrae,Tambon,1547,0.36966875195503235,0.49525031447410583,0.3863728940486908,0.41968947649002075,0.43374529480934143,3,15,0.9696186166774402,0.22586158003541415,0.6712407198542509,0.28510336909943595,0.40326172397075083,0.4531111457085803
56,THA.41.1.9_1,Yuan,ChiangKham,Phayao,Tambon,1587,0.3707832992076874,0.49345728754997253,0.39441993832588196,0.41883760690689087,0.4372757375240326,3,35,2.2054190296156273,0.2298143585063744,0.6648816909241784,0.3136424761655322,0.40024054048997837,0.46563197685535007
